File,Feature,Component,Hardcoded String,Type,Language,Priority,Suggested i18n Key
src/features/commercial/components/CommercialScreen.tsx,Commercial,Hub,Manage Profile Subscriptions Credits Usage & Invoices,Subtitle,EN,P1,commercial.hub.subtitle
src/features/commercial/components/CommercialScreen.tsx,Commercial,Hub,Credits:,Label,EN,P1,commercial.labels.credits
src/features/commercial/components/CommercialScreen.tsx,Commercial,Hub,+ Buy Credits,Button,EN,P1,commercial.buttons.buyCredits
src/features/commercial/components/CreditsTab.tsx,Commercial,Credits,Credit Wallet,Title,EN,P1,commercial.credits.walletTitle
src/features/commercial/components/CreditsTab.tsx,Commercial,Credits,Credits,Unit,EN,P1,common.units.credits
src/features/commercial/components/CreditsTab.tsx,Commercial,Credits,Purchased:,Label,EN,P1,commercial.credits.purchased
src/features/commercial/components/CreditsTab.tsx,Commercial,Credits,Used:,Label,EN,P1,commercial.credits.used
src/features/commercial/components/CreditsTab.tsx,Commercial,Credits,Credit Top-Up Packages,Section,EN,P1,commercial.credits.topupPackages
src/features/commercial/components/CreditsTab.tsx,Commercial,Credits,Most Popular,Badge,EN,P1,commercial.credits.mostPopular
src/features/commercial/components/CreditsTab.tsx,Commercial,Credits,one-time,Label,EN,P1,commercial.credits.oneTime
src/features/commercial/components/CreditsTab.tsx,Commercial,Credits,Buy Now (),Button,EN,P1,commercial.credits.buyNow
src/features/commercial/components/PricingTab.tsx,Commercial,Pricing,Choose Your SaaS Plan,Title,EN,P1,commercial.pricing.title
src/features/commercial/components/PricingTab.tsx,Commercial,Pricing,Policy-enforced subscription tiers,Subtitle,EN,P1,commercial.pricing.subtitle
src/features/commercial/components/PricingTab.tsx,Commercial,Pricing,Current Plan,Badge,EN,P1,commercial.pricing.currentPlan
src/features/commercial/components/PricingTab.tsx,Commercial,Pricing,/month,Unit,EN,P1,commercial.pricing.perMonth
src/features/commercial/components/PricingTab.tsx,Commercial,Pricing,Monthly Credits:,Label,EN,P1,commercial.pricing.monthlyCredits
src/features/commercial/components/PricingTab.tsx,Commercial,Pricing,Export Limit:,Label,EN,P1,commercial.pricing.exportLimit
src/features/commercial/components/PricingTab.tsx,Commercial,Pricing,/ mo,Unit,EN,P1,commercial.pricing.perMonth
src/features/commercial/components/PricingTab.tsx,Commercial,Pricing,Concurrent Jobs,Feature,EN,P1,commercial.pricing.concurrentJobs
src/features/commercial/components/PricingTab.tsx,Commercial,Pricing,Queue limit:,Label,EN,P1,commercial.pricing.queueLimit
src/features/commercial/components/PricingTab.tsx,Commercial,Pricing,Studio Customization Mode,Feature,EN,P1,commercial.pricing.studioCustomization
src/features/commercial/components/PricingTab.tsx,Commercial,Pricing,Advanced AI Workflows,Feature,EN,P1,commercial.pricing.advancedWorkflows
src/features/commercial/components/PricingTab.tsx,Commercial,Pricing,Active Plan,Button,EN,P1,commercial.pricing.activePlan
src/features/commercial/components/PricingTab.tsx,Commercial,Pricing,Upgrade to {name},Button,EN,P1,commercial.pricing.upgradeTo
src/features/admin/components/AdminConsoleScreen.tsx,Admin,Console,Production Admin Console,Title,EN,P2,admin.console.title
src/features/admin/components/AdminConsoleScreen.tsx,Admin,Console,Operational observability system health,Subtitle,EN,P2,admin.console.subtitle
src/features/admin/components/AdminConsoleScreen.tsx,Admin,Console,🔄 Refresh System Status,Button,EN,P2,admin.buttons.refreshStatus
src/features/generation/components/GenerationScreen.tsx,Generation,Wizard,Video Generation Experience,Title,EN,P2,generation.title
src/features/generation/components/GenerationScreen.tsx,Generation,Wizard,End-to-end video pipeline wizard,Subtitle,EN,P2,generation.subtitle
src/features/generation/components/GenerationScreen.tsx,Generation,Wizard,✨ New Generation Wizard,Tab,EN,P2,generation.tabs.wizard
src/features/generation/components/GenerationScreen.tsx,Generation,Wizard,📜 Generation History ({count}),Tab,EN,P2,generation.tabs.history
src/features/workspace/components/WorkspaceHeader.tsx,Workspace,Header,Chuyển đổi ngôn ngữ / Switch language,Tooltip,VI/EN,P2,workspace.header.languageSwitcher
